unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,LTC/BTC,0.00346500,0.00346900,0.00345000,0.00345400,1273.64000000,4.40683538,432
1616025600000,2021-03-18 00:00:00,LTC/BTC,0.00349600,0.00353400,0.00342800,0.00346400,180377.67000000,628.12978522,45179
1615939200000,2021-03-17 00:00:00,LTC/BTC,0.00354300,0.00367700,0.00347500,0.00349600,228749.32000000,814.98455945,64079
1615852800000,2021-03-16 00:00:00,LTC/BTC,0.00360600,0.00369200,0.00352800,0.00354400,289859.48000000,1045.12213984,73721
1615766400000,2021-03-15 00:00:00,LTC/BTC,0.00363000,0.00368900,0.00354000,0.00360800,339183.49000000,1226.79372477,77793
1615680000000,2021-03-14 00:00:00,LTC/BTC,0.00369400,0.00370700,0.00360600,0.00362800,261371.77000000,953.40432211,58986
1615593600000,2021-03-13 00:00:00,LTC/BTC,0.00385800,0.00387700,0.00367000,0.00369500,398040.10000000,1506.24808125,92855
1615507200000,2021-03-12 00:00:00,LTC/BTC,0.00348400,0.00392900,0.00347900,0.00385800,626139.63000000,2333.75808505,123870
1615420800000,2021-03-11 00:00:00,LTC/BTC,0.00358500,0.00359400,0.00346400,0.00348400,295703.97000000,1043.30591924,61094
1615334400000,2021-03-10 00:00:00,LTC/BTC,0.00371400,0.00372800,0.00352500,0.00358500,351329.16000000,1274.10106573,74984
1615248000000,2021-03-09 00:00:00,LTC/BTC,0.00366300,0.00376300,0.00361900,0.00371400,284931.85000000,1048.11794561,71058
1615161600000,2021-03-08 00:00:00,LTC/BTC,0.00374100,0.00378900,0.00360600,0.00366300,286978.65000000,1058.04762587,64527
1615075200000,2021-03-07 00:00:00,LTC/BTC,0.00374200,0.00376200,0.00365100,0.00374200,193191.66000000,716.51869053,47895
1614988800000,2021-03-06 00:00:00,LTC/BTC,0.00369700,0.00378500,0.00368600,0.00374100,204156.51000000,763.42803174,49437
1614902400000,2021-03-05 00:00:00,LTC/BTC,0.00373400,0.00374200,0.00362400,0.00369600,279493.11000000,1026.62728022,59109
1614816000000,2021-03-04 00:00:00,LTC/BTC,0.00372700,0.00379900,0.00370500,0.00373500,346070.89000000,1297.32685761,67921
1614729600000,2021-03-03 00:00:00,LTC/BTC,0.00369600,0.00394400,0.00365000,0.00372800,436995.16000000,1655.65822562,93637
1614643200000,2021-03-02 00:00:00,LTC/BTC,0.00354700,0.00377500,0.00352500,0.00369600,293066.48000000,1068.50059374,61705
1614556800000,2021-03-01 00:00:00,LTC/BTC,0.00366100,0.00366200,0.00351600,0.00354700,257602.93000000,919.68844347,53870
1614470400000,2021-02-28 00:00:00,LTC/BTC,0.00372500,0.00372600,0.00352000,0.00366000,349198.70000000,1259.68872413,70979
1614384000000,2021-02-27 00:00:00,LTC/BTC,0.00367600,0.00380600,0.00366800,0.00372500,264016.85000000,981.11322832,57251
1614297600000,2021-02-26 00:00:00,LTC/BTC,0.00380900,0.00384000,0.00362700,0.00367700,488742.71000000,1816.06174306,97252
1614211200000,2021-02-25 00:00:00,LTC/BTC,0.00365200,0.00400800,0.00356700,0.00380800,494797.27000000,1886.45251181,102758
1614124800000,2021-02-24 00:00:00,LTC/BTC,0.00362800,0.00373300,0.00356100,0.00365200,396347.49000000,1445.85793669,83909
1614038400000,2021-02-23 00:00:00,LTC/BTC,0.00384600,0.00385400,0.00347200,0.00363000,693018.51000000,2540.91121683,148329
1613952000000,2021-02-22 00:00:00,LTC/BTC,0.00395700,0.00398300,0.00365000,0.00384600,632514.11000000,2431.74164888,135020
1613865600000,2021-02-21 00:00:00,LTC/BTC,0.00405800,0.00412300,0.00391200,0.00395800,405655.26000000,1620.77273789,84174
1613779200000,2021-02-20 00:00:00,LTC/BTC,0.00423100,0.00439000,0.00395000,0.00405900,615210.71000000,2588.97049615,120872
1613692800000,2021-02-19 00:00:00,LTC/BTC,0.00439500,0.00453400,0.00422700,0.00423000,511453.92000000,2234.07419899,106887
1613606400000,2021-02-18 00:00:00,LTC/BTC,0.00455700,0.00457200,0.00431500,0.00439600,534859.66000000,2368.17747501,105872
1613520000000,2021-02-17 00:00:00,LTC/BTC,0.00427800,0.00456100,0.00413700,0.00455600,670462.83000000,2933.56675542,127507
1613433600000,2021-02-16 00:00:00,LTC/BTC,0.00434200,0.00449500,0.00417900,0.00427800,426108.06000000,1845.53715082,99198
1613347200000,2021-02-15 00:00:00,LTC/BTC,0.00439500,0.00453700,0.00405300,0.00433900,674922.97000000,2920.21992306,138691
1613260800000,2021-02-14 00:00:00,LTC/BTC,0.00478800,0.00483500,0.00432700,0.00439400,861967.53000000,3907.17623908,162040
1613174400000,2021-02-13 00:00:00,LTC/BTC,0.00416000,0.00490000,0.00412600,0.00479000,1026855.47000000,4568.89013246,206059
1613088000000,2021-02-12 00:00:00,LTC/BTC,0.00382800,0.00422200,0.00376000,0.00415700,551667.70000000,2179.58929123,110746
1613001600000,2021-02-11 00:00:00,LTC/BTC,0.00405400,0.00415000,0.00382400,0.00382700,443337.43000000,1768.53037699,90255
1612915200000,2021-02-10 00:00:00,LTC/BTC,0.00391000,0.00418000,0.00379500,0.00405400,773371.34000000,3112.63325520,154761
1612828800000,2021-02-09 00:00:00,LTC/BTC,0.00360800,0.00397000,0.00354200,0.00391100,608084.62000000,2232.88272412,108382
1612742400000,2021-02-08 00:00:00,LTC/BTC,0.00388600,0.00391200,0.00360000,0.00360900,567114.46000000,2127.24900824,103201
1612656000000,2021-02-07 00:00:00,LTC/BTC,0.00397000,0.00400700,0.00387400,0.00388600,323744.65000000,1268.41100056,65722
1612569600000,2021-02-06 00:00:00,LTC/BTC,0.00404700,0.00416000,0.00388100,0.00396800,502336.83000000,2014.81239609,92547
1612483200000,2021-02-05 00:00:00,LTC/BTC,0.00392700,0.00417200,0.00389600,0.00404900,428951.12000000,1730.76932539,79005
1612396800000,2021-02-04 00:00:00,LTC/BTC,0.00414400,0.00417500,0.00390100,0.00392700,498771.28000000,1984.38931530,89204
1612310400000,2021-02-03 00:00:00,LTC/BTC,0.00400300,0.00427800,0.00400200,0.00414600,465504.10000000,1937.14711970,90282
1612224000000,2021-02-02 00:00:00,LTC/BTC,0.00393700,0.00419400,0.00392500,0.00400000,467082.57000000,1889.30136286,81557
1612137600000,2021-02-01 00:00:00,LTC/BTC,0.00391000,0.00398900,0.00381100,0.00393900,313288.55000000,1218.57881953,59733
1612051200000,2021-01-31 00:00:00,LTC/BTC,0.00389200,0.00395600,0.00382500,0.00390900,235610.49000000,917.15345260,48726
1611964800000,2021-01-30 00:00:00,LTC/BTC,0.00393300,0.00396500,0.00379800,0.00389100,362106.12000000,1405.45939334,65780
1611878400000,2021-01-29 00:00:00,LTC/BTC,0.00399500,0.00414500,0.00373000,0.00393000,689379.30000000,2693.24459577,132408
1611792000000,2021-01-28 00:00:00,LTC/BTC,0.00403400,0.00417100,0.00398600,0.00399400,264330.74000000,1076.22647940,57116
1611705600000,2021-01-27 00:00:00,LTC/BTC,0.00414800,0.00417300,0.00399500,0.00403400,295778.66000000,1202.93785715,62468
1611619200000,2021-01-26 00:00:00,LTC/BTC,0.00425000,0.00428800,0.00412500,0.00414800,256807.35000000,1079.98222100,55292
1611532800000,2021-01-25 00:00:00,LTC/BTC,0.00437300,0.00450000,0.00416400,0.00424900,353144.02000000,1513.82005391,68497
1611446400000,2021-01-24 00:00:00,LTC/BTC,0.00429100,0.00440000,0.00426900,0.00437300,222412.35000000,961.52708217,47242
1611360000000,2021-01-23 00:00:00,LTC/BTC,0.00417600,0.00436300,0.00416200,0.00429100,229290.02000000,983.97553192,54232
1611273600000,2021-01-22 00:00:00,LTC/BTC,0.00420700,0.00446200,0.00413300,0.00417800,428668.54000000,1848.23388938,92984
1611187200000,2021-01-21 00:00:00,LTC/BTC,0.00422200,0.00426400,0.00408200,0.00420700,415626.97000000,1734.91807704,87376
1611100800000,2021-01-20 00:00:00,LTC/BTC,0.00423000,0.00430400,0.00409400,0.00422000,430819.77000000,1812.10959499,91159
1611014400000,2021-01-19 00:00:00,LTC/BTC,0.00414900,0.00446900,0.00411000,0.00423100,513199.20000000,2218.31735373,110382
1610928000000,2021-01-18 00:00:00,LTC/BTC,0.00398600,0.00419200,0.00388000,0.00415100,387144.20000000,1567.50354988,74988
1610841600000,2021-01-17 00:00:00,LTC/BTC,0.00398700,0.00410200,0.00394400,0.00398500,400756.51000000,1603.15002394,75375
1610755200000,2021-01-16 00:00:00,LTC/BTC,0.00391000,0.00406200,0.00387600,0.00398800,422530.14000000,1672.49197271,85441
1610668800000,2021-01-15 00:00:00,LTC/BTC,0.00389400,0.00400500,0.00379000,0.00391000,518554.59000000,2026.14100361,103145
1610582400000,2021-01-14 00:00:00,LTC/BTC,0.00394600,0.00397300,0.00380700,0.00389400,380993.45000000,1477.37714387,79833
1610496000000,2021-01-13 00:00:00,LTC/BTC,0.00391900,0.00403900,0.00385300,0.00394300,381866.28000000,1511.85534033,85337
1610409600000,2021-01-12 00:00:00,LTC/BTC,0.00392200,0.00407800,0.00384100,0.00391800,623934.42000000,2469.94936721,118225
1610323200000,2021-01-11 00:00:00,LTC/BTC,0.00445900,0.00453500,0.00366300,0.00392200,1232906.84000000,4945.03926135,252086
1610236800000,2021-01-10 00:00:00,LTC/BTC,0.00442300,0.00461400,0.00429400,0.00445800,585515.91000000,2598.87340363,119767
1610150400000,2021-01-09 00:00:00,LTC/BTC,0.00424200,0.00445600,0.00415100,0.00442400,437553.66000000,1860.12941196,87671
1610064000000,2021-01-08 00:00:00,LTC/BTC,0.00429700,0.00443500,0.00407700,0.00424300,674547.61000000,2848.89420581,130618
1609977600000,2021-01-07 00:00:00,LTC/BTC,0.00459600,0.00466000,0.00427600,0.00429500,699016.13000000,3122.35016723,157025
1609891200000,2021-01-06 00:00:00,LTC/BTC,0.00467000,0.00486100,0.00455800,0.00459600,528291.05000000,2469.39461277,118861
1609804800000,2021-01-05 00:00:00,LTC/BTC,0.00485500,0.00499500,0.00455400,0.00466900,505173.92000000,2413.40902264,117642
1609718400000,2021-01-04 00:00:00,LTC/BTC,0.00488300,0.00526100,0.00470000,0.00485500,686459.04000000,3383.33533556,206341
1609632000000,2021-01-03 00:00:00,LTC/BTC,0.00425500,0.00492500,0.00402400,0.00488500,866143.61000000,3837.89359518,195209
1609545600000,2021-01-02 00:00:00,LTC/BTC,0.00430300,0.00436400,0.00400200,0.00425500,514779.41000000,2169.20450465,109988
1609459200000,2021-01-01 00:00:00,LTC/BTC,0.00429500,0.00456900,0.00425800,0.00430300,275214.63000000,1207.90049515,60863
1609372800000,2020-12-31 00:00:00,LTC/BTC,0.00450600,0.00450700,0.00425300,0.00429400,184585.40000000,804.89823214,45332
1609286400000,2020-12-30 00:00:00,LTC/BTC,0.00470300,0.00481200,0.00440900,0.00450300,308594.39000000,1403.03899098,68509
1609200000000,2020-12-29 00:00:00,LTC/BTC,0.00479600,0.00485000,0.00454400,0.00470300,249370.63000000,1180.19796105,72358
1609113600000,2020-12-28 00:00:00,LTC/BTC,0.00486500,0.00512500,0.00473100,0.00479500,530780.55000000,2592.66523837,96514
1609027200000,2020-12-27 00:00:00,LTC/BTC,0.00489400,0.00508400,0.00451800,0.00486400,1020549.39000000,4969.86150001,168122
1608940800000,2020-12-26 00:00:00,LTC/BTC,0.00517000,0.00535800,0.00487200,0.00489400,940275.54000000,4843.51743775,142851
1608854400000,2020-12-25 00:00:00,LTC/BTC,0.00468500,0.00520000,0.00460800,0.00517000,762746.19000000,3750.36687116,118613
1608768000000,2020-12-24 00:00:00,LTC/BTC,0.00440800,0.00472400,0.00431800,0.00468500,569605.27000000,2573.77593134,96810
1608681600000,2020-12-23 00:00:00,LTC/BTC,0.00480100,0.00489400,0.00419500,0.00441000,994655.89000000,4564.29645884,171356
1608595200000,2020-12-22 00:00:00,LTC/BTC,0.00459800,0.00482900,0.00439100,0.00480200,726483.40000000,3356.49218718,106661
1608508800000,2020-12-21 00:00:00,LTC/BTC,0.00488500,0.00494600,0.00450900,0.00459600,668791.89000000,3142.15663837,108524
1608422400000,2020-12-20 00:00:00,LTC/BTC,0.00503200,0.00522700,0.00473800,0.00488400,579990.11000000,2884.25971632,114713
1608336000000,2020-12-19 00:00:00,LTC/BTC,0.00473100,0.00517500,0.00460000,0.00503100,700499.40000000,3439.31542771,114915
1608249600000,2020-12-18 00:00:00,LTC/BTC,0.00443000,0.00489000,0.00439000,0.00473200,758743.62000000,3568.30996533,131246
1608163200000,2020-12-17 00:00:00,LTC/BTC,0.00435700,0.00467000,0.00399700,0.00443000,1062713.79000000,4652.47198077,160169
1608076800000,2020-12-16 00:00:00,LTC/BTC,0.00418700,0.00437700,0.00405700,0.00435800,605521.66000000,2570.80011899,80721
1607990400000,2020-12-15 00:00:00,LTC/BTC,0.00427500,0.00434900,0.00418100,0.00418700,290903.66000000,1236.09842921,45161
1607904000000,2020-12-14 00:00:00,LTC/BTC,0.00428900,0.00429700,0.00415000,0.00427300,238312.08000000,1009.78619588,42381
1607817600000,2020-12-13 00:00:00,LTC/BTC,0.00407600,0.00435200,0.00402400,0.00428900,248759.85000000,1043.66104485,43358
1607731200000,2020-12-12 00:00:00,LTC/BTC,0.00400100,0.00412700,0.00399500,0.00407700,192121.82000000,784.82105786,32249
1607644800000,2020-12-11 00:00:00,LTC/BTC,0.00409400,0.00410500,0.00394800,0.00400500,269717.71000000,1079.53653046,45163
1607558400000,2020-12-10 00:00:00,LTC/BTC,0.00417400,0.00418600,0.00406000,0.00409300,146689.47000000,604.02248687,28209
1607472000000,2020-12-09 00:00:00,LTC/BTC,0.00418700,0.00422100,0.00408100,0.00417500,230520.95000000,961.18128758,41160
1607385600000,2020-12-08 00:00:00,LTC/BTC,0.00435000,0.00441600,0.00410700,0.00418900,242275.92000000,1029.18837210,47626
1607299200000,2020-12-07 00:00:00,LTC/BTC,0.00431500,0.00451700,0.00428100,0.00435000,230739.41000000,1008.82234438,39027
1607212800000,2020-12-06 00:00:00,LTC/BTC,0.00434100,0.00441700,0.00425200,0.00431800,192703.04000000,834.46684218,33464
1607126400000,2020-12-05 00:00:00,LTC/BTC,0.00426300,0.00440000,0.00423600,0.00434300,271213.88000000,1174.12511387,44215
1607040000000,2020-12-04 00:00:00,LTC/BTC,0.00458300,0.00460000,0.00418700,0.00426400,343895.18000000,1531.03514031,61192
